merchant_name,expense,category,mcc,amount,date
ABC Water,Utilities,Utilities,,173.91,2023-05-10
Target,Clothes,Men's Clothing,,160.77,2023-04-06
Best Buy,Electronics,Computer Software Stores,,1352.37,2023-04-13
City Park,Entertainment,Carnival,,29.91,2023-04-16
Nintendo,Electronics,Computer Software Stores,,1339.78,2023-03-09
MNO Gas,Utilities,Utilities,4986,139.49,2023-04-13
Main Street Condos,Rent,Housing,,300,2023-05-01
CVS,Health,Health,,491.14,2023-04-27
XYZ Electricity,Utilities,Utilities,,172.49,2023-05-11
Yellow Cab,Transportation,Bus Lines,,10.31,2023-04-09
CVS,Health,Health,,111.72,2023-04-26
Zara,Clothes,Clothing & Shoes,,183.47,2023-03-01
Target,Electronics,Computer Software Stores,,1315.3,2023-05-02
MNO Gas,Utilities,Utilities,,102.63,2023-05-15
Cabbie,Transportation,Taxi Cabs,4754,6.97,2023-05-06
Target,Electronics,Mobile Accessories,,557.03,2023-03-09
ABC Apartments,Rent,Housing,,300,2023-03-14
AMC Theaters,Entertainment,Fair,,35.13,2023-04-07
XYZ Housing,Rent,Housing,,300,2023-04-14
Amazon,Groceries,Convenience Stores,,91.09,2023-04-06
McDonalds,Food,Fast Food Restaurants,,54.89,2023-03-03
Walmart,Clothes,Apparel,5696,195.59,2023-03-28
Yellow Cab,Transportation,Local Transit,,11.95,2023-05-12
ABC Apartments,Rent,Housing,,300,2023-04-11
XYZ Housing,Rent,Housing,6513,300,2023-03-26
Uptown Rentals,Rent,Housing,,300,2023-03-12
KFC,Food,Bars,5813,27.35,2023-04-13
Main Street Condos,Rent,Housing,,300,2023-03-03
Target,Electronics,Gaming,5723,811.38,2023-04-09
Target,Electronics,Electronics,,805.01,2023-04-22
Uber,Transportation,Public Transportation,,7.26,2023-04-09
TGI Fridays,Food,Meals,,47.58,2023-04-10
PQR Internet,Utilities,Utilities,,133.86,2023-04-24
Amazon,Groceries,Specialty Food Markets,,98.08,2023-03-30
AMC Theaters,Entertainment,Motion Pictures,,102.36,2023-04-05
CVS,Health,Drug Stores,,38.32,2023-03-10
Lyft,Transportation,Local Transit,,9.25,2023-03-17
Cabbie,Transportation,Local Transit,4294,7.47,2023-03-10
Amazon,Groceries,Markets,,35.28,2023-03-01
Disney Land,Entertainment,Motion Picture Theaters,7998,97.72,2023-04-20
XYZ Housing,Rent,Housing,,300,2023-03-06
Regal Cinemas,Entertainment,Exhibits,,19.38,2023-03-19
Uptown Rentals,Rent,Housing,,300,2023-05-01
Lyft,Transportation,Local Transit,,12.38,2023-04-14
Yellow Cab,Transportation,Taxi Cabs,4319,15.9,2023-05-11
MNO Gas,Utilities,Utilities,,99.63,2023-04-07
Burger King,Food,Meals,5813,133.59,2023-04-24
City Bus,Transportation,Taxi Cabs,4130,9.96,2023-03-06
Megamart,Groceries,Supermarkets,,125.52,2023-03-12
XYZ Housing,Rent,Housing,,300,2023-04-29
Tasty's,Food,Fast Food Restaurants,,74.48,2023-03-04
CVS,Health,Drug Stores,,81.69,2023-03-20
Yellow Cab,Transportation,Local Transit,,11.79,2023-05-13
MNO Gas,Utilities,Utilities,,113.99,2023-03-25
PQR Internet,Utilities,Utilities,,95.98,2023-05-12
Walmart,Health,Drug Stores,,139.41,2023-04-25
Nintendo,Electronics,Mobile Accessories,5726,962.9,2023-04-25
Tasty's,Food,Fast Food Restaurants,,96.69,2023-04-24
Amazon,Health,Pharmaceuticals,5912,43.99,2023-05-01
Target,Groceries,Supermarkets,,96.91,2023-03-11
Amazon,MISC,Miscellaneous,7295,0,2023-03-12
McDonalds,Food,Dining,,75.84,2023-05-10
XYZ Housing,Rent,Housing,,300,2023-05-11
McDonalds,Food,Dining,5812,129.04,2023-04-03
MNO Gas,Utilities,Utilities,,93.58,2023-04-23
